Tick,Tender ID,Ticker,Action,Quantity,Price,Expires,source_file,mid_at_tick,spread_top_at_tick
25,81,CRZY,BUY,71000,9.71,55,simulation_run_s01_20260401_232756.xlsx,9.94,0.019999999999999574
85,881,TAME,SELL,75000,25.54,115,simulation_run_s01_20260401_232756.xlsx,25.445,0.07000000000000028
148,1681,CRZY,SELL,74000,10.64,178,simulation_run_s01_20260401_232756.xlsx,10.32,0.0600000000000005
207,2481,TAME,BUY,66000,25.55,237,simulation_run_s01_20260401_232756.xlsx,25.67,0.05999999999999872
258,3281,TAME,BUY,65000,26.29,288,simulation_run_s01_20260401_232756.xlsx,26.54,0.019999999999999574
29,81,CRZY,SELL,68000,10.43,59,simulation_run_s01_20260408_140455.xlsx,10.18,0.019999999999999574
76,881,CRZY,SELL,73000,10.58,106,simulation_run_s01_20260408_140455.xlsx,10.465,0.030000000000001137
145,1681,TAME,SELL,70000,23.43,175,simulation_run_s01_20260408_140455.xlsx,23.04,0.019999999999999574
209,2481,CRZY,BUY,73000,9.9,239,simulation_run_s01_20260408_140455.xlsx,10.11,0.040000000000000924
266,3281,TAME,BUY,72000,22.78,296,simulation_run_s01_20260408_140455.xlsx,22.905,0.010000000000001563
17,81,TAME,BUY,73000,24.79,46,simulation_run_s01_20260402_011639.xlsx,24.939999999999998,0.05999999999999872
82,881,CRZY,SELL,72000,9.73,112,simulation_run_s01_20260402_011639.xlsx,9.57,0.03999999999999915
138,1681,TAME,SELL,70000,24.93,168,simulation_run_s01_20260402_011639.xlsx,24.695,0.030000000000001137
205,2481,CRZY,BUY,73000,9.34,235,simulation_run_s01_20260402_011639.xlsx,9.620000000000001,0.02000000000000135
258,3281,TAME,BUY,67000,24.29,288,simulation_run_s01_20260402_011639.xlsx,24.405,0.05000000000000071
23,81,TAME,SELL,66000,25.36,53,simulation_run_s01_20260402_034735.xlsx,25.295,0.029999999999997584
78,881,CRZY,SELL,67000,10.28,107,simulation_run_s01_20260402_034735.xlsx,10.14,0.019999999999999574
136,1681,TAME,BUY,75000,26.08,166,simulation_run_s01_20260402_034735.xlsx,26.395,0.07000000000000028
200,2481,CRZY,SELL,69000,9.69,230,simulation_run_s01_20260402_034735.xlsx,9.485,0.07000000000000028
266,3281,TAME,SELL,74000,26.14,296,simulation_run_s01_20260402_034735.xlsx,25.91,0.020000000000003126
22,81,CRZY,SELL,67000,10.15,52,simulation_run_20260401_230448.xlsx,9.915,0.009999999999999787
81,881,TAME,BUY,65000,25.05,111,simulation_run_20260401_230448.xlsx,25.325,0.030000000000001137
143,1681,CRZY,BUY,69000,9.54,173,simulation_run_20260401_230448.xlsx,9.754999999999999,0.02999999999999936
207,2481,TAME,SELL,73000,25.8,237,simulation_run_20260401_230448.xlsx,25.715,0.030000000000001137
270,3281,CRZY,BUY,72000,9.57,300,simulation_run_20260401_230448.xlsx,9.765,0.009999999999999787
19,81,CRZY,SELL,68000,10.04,49,simulation_run_s01_20260408_110946.xlsx,10.030000000000001,0.040000000000000924
75,881,TAME,SELL,71000,25.27,105,simulation_run_s01_20260408_110946.xlsx,25.005,0.030000000000001137
140,1681,CRZY,SELL,74000,10.04,170,simulation_run_s01_20260408_110946.xlsx,9.7,0.040000000000000924
197,2481,TAME,SELL,65000,25.37,227,simulation_run_s01_20260408_110946.xlsx,25.155,0.030000000000001137
265,3281,CRZY,BUY,75000,9.12,295,simulation_run_s01_20260408_110946.xlsx,9.355,0.02999999999999936
17,81,TAME,SELL,74000,25.21,47,simulation_run_s01_20260407_130733.xlsx,24.965,0.10999999999999943
82,881,CRZY,BUY,67000,9.2,112,simulation_run_s01_20260407_130733.xlsx,9.485,0.02999999999999936
141,1681,CRZY,BUY,71000,9.61,171,simulation_run_s01_20260407_130733.xlsx,9.725000000000001,0.009999999999999787
198,2481,TAME,SELL,75000,24.58,228,simulation_run_s01_20260407_130733.xlsx,24.46,0.05999999999999872
265,3281,TAME,SELL,75000,24.9,295,simulation_run_s01_20260407_130733.xlsx,24.630000000000003,0.019999999999999574
25,81,CRZY,BUY,69000,9.72,55,simulation_run_s01_20260408_144108.xlsx,9.915,0.09000000000000163
82,881,TAME,SELL,73000,25.04,112,simulation_run_s01_20260408_144108.xlsx,24.770000000000003,0.019999999999999574
149,1681,CRZY,SELL,72000,9.53,179,simulation_run_s01_20260408_144108.xlsx,9.495000000000001,0.009999999999999787
204,2481,CRZY,SELL,68000,9.75,234,simulation_run_s01_20260408_144108.xlsx,9.465,0.009999999999999787
258,3281,TAME,SELL,68000,26.14,288,simulation_run_s01_20260408_144108.xlsx,25.97,0.03999999999999915
17,81,TAME,SELL,74000,25.14,47,simulation_run_s01_20260408_200715.xlsx,24.965,0.030000000000001137
86,881,CRZY,BUY,74000,9.9,117,simulation_run_s01_20260408_200715.xlsx,10.2,0.0600000000000005
140,1681,CRZY,BUY,73000,10.76,170,simulation_run_s01_20260408_200715.xlsx,10.879999999999999,0.02000000000000135
199,2481,TAME,SELL,65000,24.0,229,simulation_run_s01_20260408_200715.xlsx,23.965,0.00999999999999801
265,3281,CRZY,SELL,71000,10.69,295,simulation_run_s01_20260408_200715.xlsx,10.39,0.019999999999999574
