Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,14910
1,20,5458
1,21,4502.34
1,22,4962.41
1,23,5210.14
1,24,5210.14
1,25,5210.14
1,26,5210.14
1,27,5210.14
1,28,5210.14
1,29,5210.14
1,30,5210.14
1,31,5210.14
1,32,5210.14
1,33,5210.14
1,34,5210.14
1,35,5210.14
1,36,5210.14
1,37,5210.14
1,38,5210.14
1,39,5210.14
1,40,5210.14
1,41,5210.14
1,42,5210.14
1,43,5210.14
1,44,5210.14
1,45,5210.14
1,46,5210.14
1,47,5210.14
1,48,5210.14
1,49,5210.14
1,50,5210.14
1,51,5210.14
1,52,5210.14
1,53,5210.14
1,54,5210.14
1,55,5210.14
1,56,5210.14
1,57,5210.14
1,58,5210.14
1,59,5210.14
1,60,5210.14
1,61,5210.14
1,62,5210.14
1,63,5210.14
1,64,5210.14
1,65,5210.14
1,66,5210.14
1,67,5210.14
1,68,5210.14
1,69,5210.14
1,70,5210.14
1,71,5210.14
1,72,5210.14
1,73,5210.14
1,74,5210.14
1,75,5210.14
1,76,5210.14
1,77,5210.14
1,78,5210.14
1,79,5210.14
1,80,5210.14
1,81,5210.14
1,82,5210.14
1,83,5210.14
1,84,5210.14
1,85,5210.14
1,86,5210.14
1,87,5210.14
1,88,5210.14
1,89,5210.14
1,90,5210.14
1,91,5210.14
1,92,5210.14
1,93,5210.14
1,94,5210.14
1,95,5210.14
1,96,5210.14
1,97,5210.14
1,98,5210.14
1,99,5210.14
1,100,5210.14
1,101,5210.14
1,102,5210.14
1,103,5210.14
1,104,5210.14
1,105,5210.14
1,106,5210.14
1,107,5210.14
1,108,5210.14
1,109,5210.14
1,110,5210.14
1,111,5210.14
1,112,5210.14
1,113,5210.14
1,114,5210.14
1,115,5210.14
1,116,5210.14
1,117,5210.14
1,118,5210.14
1,119,5210.14
1,120,5210.14
1,121,5210.14
1,122,5210.14
1,123,5210.14
1,124,5210.14
1,125,5210.14
1,126,5210.14
1,127,5210.14
1,128,5210.14
1,129,5210.14
1,130,5210.14
1,131,5210.14
1,132,5210.14
1,133,5210.14
1,134,5210.14
1,135,5210.14
1,136,5210.14
1,137,5210.14
1,138,5210.14
1,139,5210.14
1,140,5210.14
1,141,16730.14
1,142,10266.14
1,143,8187.92
1,144,8850.83
1,145,8850.83
1,146,8759.05
1,147,8757.05
1,148,8757.05
1,149,8757.05
1,150,8757.05
1,151,8757.05
1,152,8757.05
1,153,8757.05
1,154,8757.05
1,155,8757.05
1,156,8757.05
1,157,8757.05
1,158,8757.05
1,159,8757.05
1,160,8757.05
1,161,8757.05
1,162,8757.05
1,163,8757.05
1,164,8757.05
1,165,8757.05
1,166,8757.05
1,167,8757.05
1,168,8757.05
1,169,8757.05
1,170,8757.05
1,171,8757.05
1,172,8757.05
1,173,8757.05
1,174,8757.05
1,175,8757.05
1,176,8757.05
1,177,8757.05
1,178,8757.05
1,179,8757.05
1,180,8757.05
1,181,8757.05
1,182,8757.05
1,183,8757.05
1,184,8757.05
1,185,8757.05
1,186,8757.05
1,187,8757.05
1,188,8757.05
1,189,8757.05
1,190,8757.05
1,191,8757.05
1,192,8757.05
1,193,8757.05
1,194,8757.05
1,195,8757.05
1,196,8757.05
1,197,8757.05
1,198,8757.05
1,199,8757.05
1,200,8757.05
1,201,8757.05
1,202,8757.05
1,203,8757.05
1,204,8757.05
1,205,8757.05
1,206,8757.05
1,207,8757.05
1,208,8757.05
1,209,8757.05
1,210,25037.05
1,211,18389.05
1,212,17965.05
1,213,17965.05
1,214,17965.05
1,215,17965.05
1,216,17965.05
1,217,17965.05
1,218,17965.05
1,219,17965.05
1,220,17965.05
1,221,17965.05
1,222,17965.05
1,223,17965.05
1,224,17965.05
1,225,17965.05
1,226,17965.05
1,227,17965.05
1,228,17965.05
1,229,17965.05
1,230,17965.05
1,231,17965.05
1,232,17965.05
1,233,17965.05
1,234,17965.05
1,235,17965.05
1,236,17965.05
1,237,17965.05
1,238,17965.05
1,239,17965.05
1,240,17965.05
1,241,17965.05
1,242,17965.05
1,243,17965.05
1,244,17965.05
1,245,17965.05
1,246,17965.05
1,247,17965.05
1,248,17965.05
1,249,17965.05
1,250,17965.05
1,251,17965.05
1,252,17965.05
1,253,17965.05
1,254,17965.05
1,255,17965.05
1,256,17965.05
1,257,17965.05
1,258,32455.05
1,259,27149.05
1,260,26524.65
1,261,26599.05
1,262,26524.65
1,263,26487.45
1,264,26450.25
1,265,26450.25
1,266,26450.25
1,267,26450.25
1,268,26450.25
1,269,26450.25
1,270,26450.25
1,271,26450.25
1,272,26450.25
1,273,26450.25
1,274,26450.25
1,275,26450.25
1,276,26450.25
1,277,26450.25
1,278,26450.25
1,279,26450.25
1,280,26450.25
1,281,26450.25
1,282,26450.25
1,283,26450.25
1,284,26450.25
1,285,26450.25
1,286,26450.25
1,287,26450.25
1,288,26450.25
1,289,26450.25
1,290,26450.25
1,291,26450.25
1,292,26450.25
1,293,26450.25
1,294,26450.25
1,295,26450.25
1,296,26450.25
1,297,26450.25
1,298,26450.25
1,299,26450.25
1,300,26450.25
