Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,15180
1,18,501
1,19,-2358
1,20,-2358
1,21,-2358
1,22,-2358
1,23,-2358
1,24,-2358
1,25,-2358
1,26,-2358
1,27,-2358
1,28,-2358
1,29,-2358
1,30,-2358
1,31,-2358
1,32,-2358
1,33,-2358
1,34,-2358
1,35,-2358
1,36,-2358
1,37,-2358
1,38,-2358
1,39,-2358
1,40,-2358
1,41,-2358
1,42,-2358
1,43,-2358
1,44,-2358
1,45,-2358
1,46,-2358
1,47,-2358
1,48,-2358
1,49,-2358
1,50,-2358
1,51,-2358
1,52,-2358
1,53,-2358
1,54,-2358
1,55,-2358
1,56,-2358
1,57,-2358
1,58,-2358
1,59,-2358
1,60,-2358
1,61,-2358
1,62,-2358
1,63,-2358
1,64,-2358
1,65,-2358
1,66,-2358
1,67,-2358
1,68,-2358
1,69,-2358
1,70,-2358
1,71,-2358
1,72,-2358
1,73,-2358
1,74,-2358
1,75,-2358
1,76,-2358
1,77,-2358
1,78,-2358
1,79,-2358
1,80,-2358
1,81,-2358
1,82,-2358
1,83,-2358
1,84,-2358
1,85,-2358
1,86,-2358
1,87,-2358
1,88,-2358
1,89,-2358
1,90,5802
1,91,-1603
1,92,-1603
1,93,-1603
1,94,-1603
1,95,-1603
1,96,-1603
1,97,-1603
1,98,-1603
1,99,-1603
1,100,-1603
1,101,-1603
1,102,-1603
1,103,-1603
1,104,-1603
1,105,-1603
1,106,-1603
1,107,-1603
1,108,-1603
1,109,-1603
1,110,-1603
1,111,-1603
1,112,-1603
1,113,-1603
1,114,-1603
1,115,-1603
1,116,-1603
1,117,-1603
1,118,-1603
1,119,-1603
1,120,-1603
1,121,-1603
1,122,-1603
1,123,-1603
1,124,-1603
1,125,-1603
1,126,-1603
1,127,-1603
1,128,-1603
1,129,-1603
1,130,-1603
1,131,-1603
1,132,-1603
1,133,-1603
1,134,-1603
1,135,-1603
1,136,-1603
1,137,-1603
1,138,-1603
1,139,-1603
1,140,-1603
1,141,-1603
1,142,-1603
1,143,-1603
1,144,-1603
1,145,-1603
1,146,-1603
1,147,-1603
1,148,-1603
1,149,-1603
1,150,8897
1,151,5820
1,152,5820
1,153,5820
1,154,5820
1,155,5820
1,156,5820
1,157,5820
1,158,5820
1,159,5820
1,160,5820
1,161,5820
1,162,5820
1,163,5820
1,164,5820
1,165,5820
1,166,5820
1,167,5820
1,168,5820
1,169,5820
1,170,5820
1,171,5820
1,172,5820
1,173,5820
1,174,5820
1,175,5820
1,176,5820
1,177,5820
1,178,5820
1,179,5820
1,180,5820
1,181,5820
1,182,5820
1,183,5820
1,184,5820
1,185,5820
1,186,5820
1,187,5820
1,188,5820
1,189,5820
1,190,5820
1,191,5820
1,192,5820
1,193,5820
1,194,5820
1,195,5820
1,196,5820
1,197,5820
1,198,5820
1,199,5820
1,200,5820
1,201,5820
1,202,5820
1,203,5820
1,204,5820
1,205,5820
1,206,5820
1,207,5820
1,208,5820
1,209,5820
1,210,5820
1,211,5820
1,212,5820
1,213,5820
1,214,5820
1,215,5820
1,216,5820
1,217,5820
1,218,5820
1,219,5820
1,220,5820
1,221,5820
1,222,5820
1,223,5820
1,224,5820
1,225,5820
1,226,5820
1,227,5820
1,228,5820
1,229,5820
1,230,5820
1,231,5820
1,232,5820
1,233,5820
1,234,5820
1,235,5820
1,236,5820
1,237,5820
1,238,5820
1,239,5820
1,240,5820
1,241,5820
1,242,5820
1,243,5820
1,244,5820
1,245,5820
1,246,5820
1,247,5820
1,248,5820
1,249,5820
1,250,5820
1,251,5820
1,252,5820
1,253,5820
1,254,5820
1,255,5820
1,256,5820
1,257,5820
1,258,5820
1,259,5820
1,260,5820
1,261,5820
1,262,5820
1,263,5820
1,264,5820
1,265,5820
1,266,5820
1,267,5820
1,268,19120
1,269,12943
1,270,12943
1,271,12943
1,272,12943
1,273,12943
1,274,12943
1,275,12943
1,276,12943
1,277,12943
1,278,12943
1,279,12943
1,280,12943
1,281,12943
1,282,12943
1,283,12943
1,284,12943
1,285,12943
1,286,12943
1,287,12943
1,288,12943
1,289,12943
1,290,12943
1,291,12943
1,292,12943
1,293,12943
1,294,12943
1,295,12943
1,296,12943
1,297,12943
1,298,12943
1,299,12943
1,300,12943
